,ligand,cluster_name
21826,TTR,TTR
21827,TTJ,TTJ
21828,L5C,L5C
21829,L9G,L9G
21830,TTA,TTA
21831,TUR,TUR
21832,L9J,L9J
21833,TS2,TS2
21834,TQL,TQL
21835,TQJ,TQJ
21836,L9N,L9N
21837,TQI,TQI
21838,TQ9,TQ9
21839,TQ2,TQ2
21840,L96,L96
21841,L94,L94
21842,L90,L90
21843,TSJ,TSJ
21844,SVQ,SVQ
21845,L4A,L4A
21846,SVB,SVB
21847,L4G,L4G
21848,SXZ,SXZ
21849,SXV,SXV
21850,SXS,SXS
21851,SXR,SXR
21852,L4V,L4V
21853,SXJ,SXJ
21854,L55,L55
21855,SXD,SXD
21856,SXA,SXA
21857,SXK,SXK
21858,SPX,SPX
21859,TT2,TT2
21860,TT1,TT1
21861,L75,L75
21862,TSZ,TSZ
21863,L76,L76
21864,TSX,TSX
21865,TST,TST
21866,L8W,L8W
21867,TGC,TGC
21868,TG5,TG5
21869,TKA,TKA
21870,RXD,RXD
21871,RUP,RUP
21872,RUJ,RUJ
21873,RUI,RUI
21874,RUG,RUG
21875,RW3,RW3
21876,RW4,RW4
21877,RYU,RYU
21878,RYN,RYN
21879,RYJ,RYJ
21880,RXZ,RXZ
21881,RXM,RXM
21882,RXB,RXB
21883,RDT,RDT
21884,RWJ,RWJ
21885,RWI,RWI
21886,RXC,RXC
21887,S22,S22
21888,RO9,RO9
21889,REX,REX
21890,REW,REW
21891,REJ,REJ
21892,RE9,RE9
21893,LGX,LGX
21894,RE1,RE1
21895,LGW,LGW
21896,RVI,RVI
21897,LGV,LGV
21898,RYV,RYV
21899,RZX,RZX
21900,RZH,RZH
21901,LGK,LGK
21902,RZD,RZD
21903,RZ8,RZ8
21904,RZ7,RZ7
21905,LGL,LGL
21906,RZ1,RZ1
21907,RZ0,RZ0
21908,LGM,LGM
21909,S0E,S0E
21910,RYZ,RYZ
21911,S0F,S0F
21912,S1Y,S1Y
21913,LGQ,LGQ
21914,S13,S13
21915,S11,S11
21916,S0W,S0W
21917,S0K,S0K
21918,S0J,S0J
21919,S0I,S0I
21920,S0G,S0G
21921,RYX,RYX
21922,LGZ,LGZ
21923,REY,REY
21924,TKD,TKD
21925,RO1,RO1
21926,LFP,LFP
21927,RLL,RLL
21928,RLJ,RLJ
21929,LFS,LFS
21930,RL3,RL3
21931,RL2,RL2
21932,RL1,RL1
21933,LFT,LFT
21934,RN6,RN6
21935,RO6,RO6
21936,RO4,RO4
21937,RO0,RO0
21938,RF2,RF2
21939,RNR,RNR
21940,RNK,RNK
21941,RNH,RNH
21942,LFZ,LFZ
21943,LG0,LG0
21944,RND,RND
21945,RN3,RN3
21946,RKM,RKM
21947,RKD,RKD
21948,LG7,LG7
21949,RHL,RHL
21950,RLM,RLM
21951,RMC,RMC
21952,RMM,RMM
21953,RMR,RMR
21954,RGA,RGA
21955,RFN,RFN
21956,RFL,RFL
21957,RFH,RFH
21958,LH3,LH3
21959,RF3,RF3
21960,RF1,RF1
21961,RGC,RGC
21962,RDR,RDR
21963,LH7,LH7
21964,RC4,RC4
21965,RBY,RBY
21966,LH8,LH8
21967,RBE,RBE
21968,LGF,LGF
21969,LGD,LGD
21970,RDI,RDI
21971,LFJ,LFJ
21972,RDD,RDD
21973,RCZ,RCZ
21974,RCH,RCH
21975,RCG,RCG
21976,RGJ,RGJ
21977,LGJ,LGJ
21978,KZI,KZI
21979,S04,S04
21980,L2Q,L2Q
21981,L3D,L3D
21982,TLT,TLT
21983,TLS,TLS
21984,L3E,L3E
21985,TL4,TL4
21986,TL3,TL3
21987,TL2,TL2
21988,TL1,TL1
21989,L3Z,L3Z
21990,L40,L40
21991,TMX,TMX
21992,TMR,TMR
21993,S06,S06
21994,L1H,L1H
21995,L1K,L1K
21996,TM6,TM6
21997,TM5,TM5
21998,L1O,L1O
21999,RT3,RT3
22000,L1R,L1R
22001,RSZ,RSZ
22002,RSY,RSY
22003,RSX,RSX
22004,RSW,RSW
22005,L37,L37
22006,L33,L33
22007,TN6,TN6
22008,L32,L32
22009,KZQ,KZQ
22010,TO2,TO2
22011,TNX,TNX
22012,L00,L00
22013,TNH,TNH
22014,TNG,TNG
22015,TNC,TNC
22016,L01,L01
22017,TOM,TOM
22018,TPI,TPI
22019,TPG,TPG
22020,L02,L02
22021,TPE,TPE
22022,L03,L03
22023,TPD,TPD
22024,L04,L04
22025,L09,L09
22026,TPA,TPA
22027,TP8,TP8
22028,L1D,L1D
22029,L42,L42
22030,L2S,L2S
22031,TOT,TOT
22032,RSV,RSV
22033,L1W,L1W
22034,RSK,RSK
22035,RP2,RP2
22036,ROS,ROS
22037,ROM,ROM
22038,RPO,RPO
22039,RPQ,RPQ
22040,RRT,RRT
22041,RRS,RRS
22042,RRR,RRR
22043,RRQ,RRQ
22044,RRP,RRP
22045,RRM,RRM
22046,RRH,RRH
22047,RR6,RR6
22048,L2H,L2H
22049,RR2,RR2
22050,RR1,RR1
22051,RQQ,RQQ
22052,RPS,RPS
22053,RPP,RPP
22054,RUC,RUC
22055,S0D,S0D
22056,S0C,S0C
22057,S0B,S0B
22058,S0A,S0A
22059,ROX,ROX
22060,RP3,RP3
22061,L1X,L1X
22062,RP6,RP6
22063,RSD,RSD
22064,RS8,RS8
22065,L1Z,L1Z
22066,RT7,RT7
22067,RT8,RT8
22068,RU9,RU9
22069,RU6,RU6
22070,RU5,RU5
22071,L21,L21
22072,RTX,RTX
22073,RTR,RTR
22074,RTN,RTN
22075,RTM,RTM
22076,RTK,RTK
22077,RTH,RTH
22078,RTE,RTE
22079,RTD,RTD
22080,RTA,RTA
22081,RS2,RS2
22082,RPL,RPL
22083,L26,L26
22084,RPD,RPD
22085,L27,L27
22086,ZES,ZES
22087,ZI7,ZI7
22088,L64,L64
22089,WAN,WAN
22090,WMR,WMR
22091,WMP,WMP
22092,WM9,WM9
22093,KRJ,KRJ
22094,WJ2,WJ2
22095,WIN,WIN
22096,WI2,WI2
22097,WCP,WCP
22098,W81,W81
22099,WC1,WC1
22100,WBI,WBI
22101,WAI,WAI
22102,MZZ,MZZ
22103,WAC,WAC
22104,WA5,WA5
22105,W9Z,W9Z
22106,W8R,W8R
22107,RB2,RB2
22108,N12,N12
22109,KRK,KRK
22110,N0V,N0V
22111,N0J,N0J
22112,N0B,N0B
22113,N04,N04
22114,KRC,KRC
22115,WGZ,WGZ
22116,WCU,WCU
22117,WCX,WCX
22118,VVS,VVS
22119,VYI,VYI
22120,VXU,VXU
22121,VXL,VXL
22122,VX7,VX7
22123,VX3,VX3
22124,VX2,VX2
22125,VX1,VX1
22126,VVX,VVX
22127,VVT,VVT
22128,VVQ,VVQ
22129,WGT,WGT
22130,WFG,WFG
22131,WFF,WFF
22132,WFE,WFE
22133,WEF,WEF
22134,WE0,WE0
22135,WDU,WDU
22136,WDT,WDT
22137,KR1,KR1
22138,WDS,WDS
22139,KR5,KR5
22140,WDR,WDR
22141,N02,N02
22142,MZT,MZT
22143,VSI,VSI
22144,MZ5,MZ5
22145,MZJ,MZJ
22146,HBM,HBM
22147,MYM,MYM
22148,MZD,MZD
22149,MZB,MZB
22150,MZA,MZA
22151,MZ9,MZ9
22152,MZ8,MZ8
22153,HBN,HBN
22154,MZ7,MZ7
22155,MZ6,MZ6
22156,MZ4,MZ4
22157,MZS,MZS
22158,HBV,HBV
22159,MZ3,MZ3
22160,MZ2,MZ2
22161,MZ1,MZ1
22162,MYQ,MYQ
22163,HC0,HC0
22164,MYL,MYL
22165,N2V,N2V
22166,HCB,HCB
22167,N74,N74
22168,N73,N73
22169,MYG,MYG
22170,MXS,MXS
22171,HBK,HBK
22172,J37,J37
22173,MZO,MZO
22174,N17,N17
22175,KRL,KRL
22176,KRM,KRM
22177,N2F,N2F
22178,KRP,KRP
22179,N27,N27
22180,N25,N25
22181,N24,N24
22182,N23,N23
22183,N21,N21
22184,N1Z,N1Z
22185,N1W,N1W
22186,N1M,N1M
22187,N1H,N1H
22188,MZL,MZL
22189,MYF,MYF
22190,MYE,MYE
22191,MY9,MY9
22192,MY7,MY7
22193,KRQ,KRQ
22194,KRV,KRV
22195,KRW,KRW
22196,VV7,VV7
22197,VSV,VSV
22198,N6V,N6V
22199,X92,X92
22200,X4S,X4S
22201,X4G,X4G
22202,KSD,KSD
22203,X9F,X9F
22204,X99,X99
22205,X98,X98
22206,X97,X97
22207,X96,X96
22208,X95,X95
22209,X94,X94
22210,X93,X93
22211,X8U,X8U
22212,X1E,X1E
22213,X8I,X8I
22214,X8E,X8E
22215,X89,X89
22216,X86,X86
22217,X85,X85
22218,X7G,X7G
22219,KSE,KSE
22220,X27,X27
22221,X26,X26
22222,X21,X21
22223,X20,X20
22224,X55,X55
22225,X5S,X5S
22226,X63,X63
22227,X65,X65
22228,WTZ,WTZ
22229,WTJ,WTJ
22230,WTI,WTI
22231,WT4,WT4
22232,WSK,WSK
22233,WS3,WS3
22234,KS5,KS5
22235,WS2,WS2
22236,WS1,WS1
22237,KS8,KS8
22238,KSC,KSC
22239,WRB,WRB
22240,X0W,X0W
22241,X0X,X0X
22242,X76,X76
22243,X73,X73
22244,X6W,X6W
22245,X6L,X6L
22246,X6G,X6G
22247,X6D,X6D
22248,X6B,X6B
22249,X6A,X6A
22250,X69,X69
22251,X1P,X1P
22252,X19,X19
22253,KSS,KSS
22254,W32,W32
22255,W07,W07
22256,W2P,W2P
22257,W72,W72
22258,KSL,KSL
22259,W59,W59
22260,W56,W56
22261,W4N,W4N
22262,KSM,KSM
22263,W43,W43
22264,W42,W42
22265,W33,W33
22266,VV6,VV6
22267,X17,X17
22268,VUP,VUP
22269,VTI,VTI
22270,VTB,VTB
22271,KSN,KSN
22272,KSR,KSR
22273,VT8,VT8
22274,VT7,VT7
22275,VT6,VT6
22276,VT5,VT5
22277,VT2,VT2
22278,VT0,VT0
22279,W0T,W0T
22280,W12,W12
22281,W19,W19
22282,W29,W29
22283,KSF,KSF
22284,X15,X15
22285,X14,X14
22286,X12,X12
22287,X29,X29
22288,X2A,X2A
22289,KSH,KSH
22290,X46,X46
22291,X45,X45
22292,X44,X44
22293,X43,X43
22294,X3X,X3X
22295,WO5,WO5
22296,X39,X39
22297,X30,X30
22298,KSK,KSK
22299,X2P,X2P
22300,X2L,X2L
22301,X2K,X2K
22302,X37,X37
22303,WO3,WO3
22304,W2K,W2K
22305,W2D,W2D
22306,N71,N71
22307,N6S,N6S
22308,ZIG,ZIG
22309,NOQ,NOQ
22310,NNI,NNI
22311,NNE,NNE
22312,NNC,NNC
22313,NNB,NNB
22314,NOL,NOL
22315,HAJ,HAJ
22316,HAH,HAH
22317,NP2,NP2
22318,NP1,NP1
22319,NOT,NOT
22320,H6J,H6J
22321,H6K,H6K
22322,NLI,NLI
22323,NOO,NOO
22324,NOM,NOM
22325,NNA,NNA
22326,H6Q,H6Q
22327,NLD,NLD
22328,NL4,NL4
22329,NKX,NKX
22330,NKM,NKM
22331,NKG,NKG
22332,NK9,NK9
22333,NK8,NK8
22334,NNQ,NNQ
22335,HCW,HCW
22336,NO5,NO5
22337,NO7,NO7
22338,MUH,MUH
22339,MT8,MT8
22340,MT2,MT2
22341,MSZ,MSZ
22342,MSY,MSY
22343,MSQ,MSQ
22344,MSI,MSI
22345,HCM,HCM
22346,HCN,HCN
22347,MSG,MSG
22348,MUD,MUD
22349,MU1,MU1
22350,MU0,MU0
22351,HCO,HCO
22352,HCP,HCP
22353,MTS,MTS
22354,MTK,MTK
22355,HCR,HCR
22356,MOC,MOC
22357,N9J,N9J
22358,NOD,NOD
22359,NOC,NOC
22360,HCV,HCV
22361,NK7,NK7
22362,NN7,NN7
22363,MVN,MVN
22364,NU9,NU9
22365,NU8,NU8
22366,NVE,NVE
22367,NV7,NV7
22368,NV2,NV2
22369,NV1,NV1
22370,H5G,H5G
22371,NUW,NUW
22372,NUJ,NUJ
22373,NUE,NUE
22374,NUD,NUD
22375,NUB,NUB
22376,NST,NST
22377,H6S,H6S
22378,NRA,NRA
22379,NR4,NR4
22380,H5H,H5H
22381,NR3,NR3
22382,NQJ,NQJ
22383,NQI,NQI
22384,NQG,NQG
22385,NQB,NQB
22386,NQ5,NQ5
22387,NQ4,NQ4
22388,NQ2,NQ2
22389,NU6,NU6
22390,NT1,NT1
22391,NT7,NT7
22392,NTC,NTC
22393,NN1,NN1
22394,H6T,H6T
22395,H6V,H6V
22396,NMZ,NMZ
22397,H6Y,H6Y
22398,NMQ,NMQ
22399,KAF,KAF
22400,H6Z,H6Z
22401,H74,H74
22402,NMB,NMB
22403,NMA,NMA
22404,NM8,NM8
22405,H75,H75
22406,NM1,NM1
22407,H78,H78
22408,NPP,NPP
22409,NU3,NU3
22410,NTX,NTX
22411,NTV,NTV
22412,NTS,NTS
22413,H6H,H6H
22414,NTI,NTI
22415,NTF,NTF
22416,MUI,MUI
22417,MVY,MVY
22418,N6R,N6R
22419,MRA,MRA
22420,N5N,N5N
22421,N5G,N5G
22422,N5D,N5D
22423,N5C,N5C
22424,N5B,N5B
22425,N58,N58
22426,N57,N57
22427,N53,N53
22428,HAT,HAT
22429,N4I,N4I
22430,N56,N56
22431,HAU,HAU
22432,HB4,HB4
22433,MR8,MR8
22434,MR2,MR2
22435,HAW,HAW
22436,MQY,MQY
22437,MQV,MQV
22438,HAX,HAX
22439,MQR,MQR
22440,MQQ,MQQ
22441,MQO,MQO
22442,MQJ,MQJ
22443,HAY,HAY
22444,N4D,N4D
22445,N4A,N4A
22446,N33,N33
22447,N3A,N3A
22448,N6L,N6L
22449,N6J,N6J
22450,N6D,N6D
22451,N69,N69
22452,HBH,HBH
22453,N67,N67
22454,N66,N66
22455,N64,N64
22456,N61,N61
22457,N5V,N5V
22458,N93,N93
22459,N8T,N8T
22460,N8N,N8N
22461,N8M,N8M
22462,N8J,N8J
22463,N7R,N7R
22464,N7O,N7O
22465,N7N,N7N
22466,N5S,N5S
22467,N48,N48
22468,N45,N45
22469,N3F,N3F
22470,N3B,N3B
22471,HAZ,HAZ
22472,HB5,HB5
22473,MW4,MW4
22474,MUP,MUP
22475,MVG,MVG
22476,MVD,MVD
22477,HDT,HDT
22478,HDU,HDU
22479,MV2,MV2
22480,MV1,MV1
22481,MUW,MUW
22482,MUV,MUV
22483,MUU,MUU
22484,MUT,MUT
22485,MUS,MUS
22486,HDY,HDY
22487,MS5,MS5
22488,MUJ,MUJ
22489,MVJ,MVJ
22490,HE0,HE0
22491,HCJ,HCJ
22492,HCK,HCK
22493,MWY,MWY
22494,MWV,MWV
22495,MWS,MWS
22496,MWP,MWP
22497,MWG,MWG
22498,MWA,MWA
22499,MSD,MSD
22500,MSC,MSC
22501,MPA,MPA
22502,MPE,MPE
22503,MS3,MS3
22504,HB9,HB9
22505,MRX,MRX
22506,MRW,MRW
22507,MRT,MRT
22508,HBB,HBB
22509,MP1,MP1
22510,HBC,HBC
22511,MOV,MOV
22512,MON,MON
22513,MOK,MOK
22514,MOJ,MOJ
22515,MOI,MOI
22516,MOD,MOD
22517,MP9,MP9
22518,MPC,MPC
22519,MPZ,MPZ
22520,HDB,HDB
22521,HDM,HDM
22522,HDO,HDO
22523,MPM,MPM
22524,HDR,HDR
22525,MPK,MPK
22526,WR7,WR7
22527,KSZ,KSZ
22528,WQS,WQS
22529,ZDG,ZDG
22530,ZAF,ZAF
22531,00P,00P
22532,KE8,KE8
22533,ZAA,ZAA
22534,ZA5,ZA5
22535,ZA4,ZA4
22536,Z9Z,Z9Z
22537,Z96,Z96
22538,Z94,Z94
22539,ZAT,ZAT
22540,KE9,KE9
22541,ZD7,ZD7
22542,Z57,Z57
22543,ZD6,ZD6
22544,KED,KED
22545,KEF,KEF
22546,ZBT,ZBT
22547,ZBS,ZBS
22548,ZBD,ZBD
22549,KEK,KEK
22550,KEL,KEL
22551,KEM,KEM
22552,ZB6,ZB6
22553,Z8Z,Z8Z
22554,Z24,Z24
22555,Z22,Z22
22556,Z21,Z21
22557,YR3,YR3
22558,YQY,YQY
22559,YTX,YTX
22560,YR1,YR1
22561,YR4,YR4
22562,KGG,KGG
22563,YTB,YTB
22564,YT5,YT5
22565,KF4,KF4
22566,YT4,YT4
22567,KEY,KEY
22568,YSO,YSO
22569,KDW,KDW
22570,KE4,KE4
22571,YSL,YSL
22572,YSE,YSE
22573,YSD,YSD
22574,YS9,YS9
22575,YS5,YS5
22576,YS3,YS3
22577,YS2,YS2
22578,YRG,YRG
22579,KE7,KE7
22580,YRA,YRA
22581,Z59,Z59
22582,Z4S,Z4S
22583,KFZ,KFZ
22584,VC8,VC8
22585,VA4,VA4
22586,VA3,VA3
22587,V98,V98
22588,V71,V71
22589,V69,V69
22590,VAM,VAM
22591,V68,V68
22592,VDB,VDB
22593,VDA,VDA
22594,VD1,VD1
22595,VC9,VC9
22596,VC6,VC6
22597,Z46,Z46
22598,VC2,VC2
22599,VC1,VC1
22600,VBN,VBN
22601,VBM,VBM
22602,KUY,KUY
22603,VB1,VB1
22604,VAZ,VAZ
22605,VAU,VAU
22606,V66,V66
22607,V64,V64
22608,V1T,V1T
22609,VA5,VA5
22610,KES,KES
22611,VA6,VA6
22612,VA7,VA7
22613,Z3P,Z3P
22614,Z3A,Z3A
22615,Z34,Z34
22616,Z31,Z31
22617,Z30,Z30
22618,Z2T,Z2T
22619,Z2M,Z2M
22620,Z60,Z60
22621,Z62,Z62
22622,Z64,Z64
22623,Z87,Z87
22624,Z86,Z86
22625,Z83,Z83
22626,Z81,Z81
22627,Z73,Z73
22628,Z71,Z71
22629,Z69,Z69
22630,KEP,KEP
22631,Z68,Z68
22632,Z67,Z67
22633,U4W,U4W
22634,XA0,XA0
22635,X9I,X9I
22636,YNU,YNU
22637,YPA,YPA
22638,WOC,WOC
22639,ZZO,ZZO
22640,KDJ,KDJ
22641,ZYE,ZYE
22642,ZZ4,ZZ4
22643,ZYD,ZYD
22644,ZZ5,ZZ5
22645,ZZW,ZZW
22646,KDP,KDP
22647,ZZV,ZZV
22648,ZZR,ZZR
22649,ZZQ,ZZQ
22650,ZZP,ZZP
22651,ZZN,ZZN
22652,ZUF,ZUF
22653,ZZM,ZZM
22654,ZZK,ZZK
22655,ZZH,ZZH
22656,ZZG,ZZG
22657,ZZF,ZZF
22658,ZZB,ZZB
22659,ZZ6,ZZ6
22660,ZYA,ZYA
22661,ZVS,ZVS
22662,ZVO,ZVO
22663,ZUQ,ZUQ
22664,ZYG,ZYG
22665,ZYH,ZYH
22666,KDE,KDE
22667,KDD,KDD
22668,ZME,ZME
22669,ZLP,ZLP
22670,ZKD,ZKD
22671,KLJ,KLJ
22672,KGW,KGW
22673,ZK5,ZK5
22674,ZJ0,ZJ0
22675,ZYZ,ZYZ
22676,ZYY,ZYY
22677,ZYW,ZYW
22678,ZYV,ZYV
22679,ZYT,ZYT
22680,ZYS,ZYS
22681,KCZ,KCZ
22682,ZYR,ZYR
22683,ZYQ,ZYQ
22684,ZYP,ZYP
22685,ZYO,ZYO
22686,KD1,KD1
22687,ZYN,ZYN
22688,KD7,KD7
22689,ZYM,ZYM
22690,ZYL,ZYL
22691,KDS,KDS
22692,ZU5,ZU5
22693,KFJ,KFJ
22694,KDR,KDR
22695,Z16,Z16
22696,Z14,Z14
22697,Z12,Z12
22698,Z10,Z10
22699,Z0P,Z0P
22700,KBY,KBY
22701,KC4,KC4
22702,KCA,KCA
22703,KCD,KCD
22704,Z0O,Z0O
22705,Z04,Z04
22706,KGU,KGU
22707,KCP,KCP
22708,YZY,YZY
22709,YZE,YZE
22710,YZ6,YZ6
22711,Z20,Z20
22712,YQA,YQA
22713,KF7,KF7
22714,YPW,YPW
22715,YPT,YPT
22716,KFA,KFA
22717,YPH,YPH
22718,KFG,KFG
22719,YYZ,YYZ
22720,YU7,YU7
22721,YUK,YUK
22722,YVQ,YVQ
22723,KBJ,KBJ
22724,ZW3,ZW3
22725,ZY6,ZY6
22726,ZY4,ZY4
22727,KBM,KBM
22728,ZY3,ZY3
22729,ZY2,ZY2
22730,ZY1,ZY1
22731,ZY0,ZY0
22732,KBT,KBT
22733,ZXI,ZXI
22734,ZEM,ZEM
22735,ZXG,ZXG
22736,ZXC,ZXC
22737,ZWP,ZWP
22738,ZED,ZED
22739,YY3,YY3
22740,YY2,YY2
22741,YXZ,YXZ
22742,YXX,YXX
22743,YWO,YWO
22744,YW2,YW2
22745,YVR,YVR
22746,V16,V16
22747,V15,V15
22748,V10,V10
22749,UMG,UMG
22750,KWZ,KWZ
22751,UV8,UV8
22752,UUA,UUA
22753,KX1,KX1
22754,UT0,UT0
22755,USQ,USQ
22756,KXM,KXM
22757,KPG,KPG
22758,KPK,KPK
22759,KPM,KPM
22760,UMK,UMK
22761,ULP,ULP
22762,KQW,KQW
22763,KQ7,KQ7
22764,ULA,ULA
22765,UL4,UL4
22766,UKP,UKP
22767,KQP,KQP
22768,UJB,UJB
22769,UIZ,UIZ
22770,UIQ,UIQ
22771,KQQ,KQQ
22772,KP3,KP3
22773,UN3,UN3
22774,UW1,UW1
22775,UW3,UW3
22776,UW4,UW4
22777,UW9,UW9
22778,UC4,UC4
22779,UC3,UC3
22780,UC2,UC2
22781,UBY,UBY
22782,UBX,UBX
22783,UBV,UBV
22784,UBS,UBS
22785,UB3,UB3
22786,UB2,UB2
22787,UAN,UAN
22788,UAD,UAD
22789,UIN,UIN
22790,KWA,KWA
22791,UR2,UR2
22792,UQ7,UQ7
22793,UPX,UPX
22794,KWB,KWB
22795,UPN,UPN
22796,KWE,KWE
22797,KWG,KWG
22798,UP5,UP5
22799,KWM,KWM
22800,KWY,KWY
22801,UOI,UOI
22802,KNH,KNH
22803,V02,V02
22804,X00,X00
22805,WVI,WVI
22806,KOB,KOB
22807,KOH,KOH
22808,WVH,WVH
22809,WZ2,WZ2
22810,X0Q,X0Q
22811,X0A,X0A
22812,X06,X06
22813,X03,X03
22814,KOM,KOM
22815,X01,X01
22816,WZ5,WZ5
22817,KNJ,KNJ
22818,WZ4,WZ4
22819,WZ3,WZ3
22820,WZ1,WZ1
22821,KOS,KOS
22822,X0U,X0U
22823,WUL,WUL
22824,KOV,KOV
22825,WQQ,WQQ
22826,WQP,WQP
22827,WPH,WPH
22828,KOY,KOY
22829,WW3,WW3
22830,WWF,WWF
22831,WWL,WWL
22832,WWV,WWV
22833,UNZ,UNZ
22834,UNY,UNY
22835,KNT,KNT
22836,UNV,UNV
22837,UNQ,UNQ
22838,KNZ,KNZ
22839,UNM,UNM
22840,UWB,UWB
22841,UNI,UNI
22842,UNE,UNE
22843,UNB,UNB
22844,UN8,UN8
22845,UN7,UN7
22846,UN6,UN6
22847,UN5,UN5
22848,UN4,UN4
22849,UNH,UNH
22850,KO1,KO1
22851,WYF,WYF
22852,WYE,WYE
22853,WY5,WY5
22854,KO5,KO5
22855,WY3,WY3
22856,UCA,UCA
22857,U52,U52
22858,U55,U55
22859,VGC,VGC
22860,VS3,VS3
22861,VRV,VRV
22862,KU8,KU8
22863,VRA,VRA
22864,VR2,VR2
22865,KU7,KU7
22866,VQI,VQI
22867,VPX,VPX
22868,VPU,VPU
22869,KTD,KTD
22870,VJ6,VJ6
22871,VG8,VG8
22872,KZE,KZE
22873,VG7,VG7
22874,VG6,VG6
22875,VG4,VG4
22876,KTO,KTO
22877,VG3,VG3
22878,VG2,VG2
22879,KTS,KTS
22880,VG1,VG1
22881,KTU,KTU
22882,VG0,VG0
22883,VFB,VFB
22884,KU9,KU9
22885,KVZ,KVZ
22886,KVV,KVV
22887,VPM,VPM
22888,UZ9,UZ9
22889,UX9,UX9
22890,UX0,UX0
22891,V21,V21
22892,V26,V26
22893,KVC,KVC
22894,V56,V56
22895,V51,V51
22896,V49,V49
22897,V3A,V3A
22898,V36,V36
22899,V35,V35
22900,V30,V30
22901,VO3,VO3
22902,VO2,VO2
22903,VO1,VO1
22904,VNY,VNY
22905,VNF,VNF
22906,KVD,KVD
22907,KVI,KVI
22908,KVT,KVT
22909,VJP,VJP
22910,VJK,VJK
22911,KU1,KU1
22912,VEK,VEK
22913,VDZ,VDZ
22914,UI1,UI1
22915,UHD,UHD
22916,KYJ,KYJ
22917,KYM,KYM
22918,UGX,UGX
22919,UGT,UGT
22920,UGJ,UGJ
22921,KYP,KYP
22922,UGB,UGB
22923,UFV,UFV
22924,UFM,UFM
22925,UFE,UFE
22926,KYS,KYS
22927,KYT,KYT
22928,UET,UET
22929,UDY,UDY
22930,KYV,KYV
22931,UC9,UC9
22932,KYY,KYY
22933,U91,U91
22934,U8K,U8K
22935,U7E,U7E
22936,U73,U73
22937,U66,U66
22938,UHF,UHF
22939,UI2,UI2
22940,VGJ,VGJ
22941,UCM,UCM
22942,VIQ,VIQ
22943,VIN,VIN
22944,VHW,VHW
22945,VHT,VHT
22946,VHS,VHS
22947,VHC,VHC
22948,VHA,VHA
22949,VH2,VH2
22950,VH1,VH1
22951,KW1,KW1
22952,VGN,VGN
22953,VGM,VGM
22954,UWA,UWA
22955,UDR,UDR
22956,KW5,KW5
22957,KW7,KW7
22958,UDO,UDO
22959,UDG,UDG
22960,UDD,UDD
22961,UDB,UDB
22962,KXZ,KXZ
22963,UD4,UD4
22964,UCZ,UCZ
22965,SRV,SRV
22966,SQ1,SQ1
22967,NPU,NPU
22968,DBI,DBI
22969,DAE,DAE
22970,DAA,DAA
22971,DA4,DA4
22972,DAY,DAY
22973,DA3,DA3
22974,DB4,DB4
22975,DBW,DBW
22976,DBT,DBT
22977,DBR,DBR
22978,DBN,DBN
22979,DBK,DBK
22980,DBF,DBF
22981,D81,D81
22982,DBD,DBD
22983,J8B,J8B
22984,DB9,DB9
22985,DB7,DB7
22986,J8D,J8D
22987,D9W,D9W
22988,D8K,D8K
22989,D8I,D8I
22990,D8H,D8H
22991,D8E,D8E
22992,D8B,D8B
22993,DAQ,DAQ
22994,DAW,DAW
22995,D7G,D7G
22996,D3Z,D3Z
22997,J9V,J9V
22998,D3F,D3F
22999,D3A,D3A
23000,D39,D39
23001,D38,D38
23002,D37,D37
23003,D36,D36
23004,D35,D35
23005,D34,D34
23006,D3X,D3X
23007,D41,D41
23008,D51,D51
23009,D50,D50
23010,D4Z,D4Z
23011,D4Y,D4Y
23012,D4W,D4W
23013,D4Q,D4Q
23014,D4L,D4L
23015,D4D,D4D
23016,J9S,J9S
23017,D49,D49
23018,D46,D46
23019,D42,D42
23020,J8G,J8G
23021,D7Y,D7Y
23022,D52,D52
23023,CZ6,CZ6
23024,CXV,CXV
23025,J97,J97
23026,CXG,CXG
23027,CXD,CXD
23028,CXB,CXB
23029,J99,J99
23030,CX7,CX7
23031,J9D,J9D
23032,CZ9,CZ9
23033,CZ8,CZ8
23034,CZ7,CZ7
23035,CZ5,CZ5
23036,D7W,D7W
23037,CZ4,CZ4
23038,CZ0,CZ0
23039,J9E,J9E
23040,CYV,CYV
23041,J9G,J9G
23042,J9K,J9K
23043,CYK,CYK
23044,J9P,J9P
23045,JBA,JBA
23046,CYE,CYE
23047,CZE,CZE
23048,CXZ,CXZ
23049,J8Y,J8Y
23050,J8V,J8V
23051,J8S,J8S
23052,D7T,D7T
23053,D7Q,D7Q
23054,D7M,D7M
23055,D7J,D7J
23056,D7H,D7H
23057,D8N,D8N
23058,D8S,D8S
23059,D9K,D9K
23060,D9H,D9H
23061,D9B,D9B
23062,D9A,D9A
23063,D99,D99
23064,D94,D94
23065,D93,D93
23066,D92,D92
23067,D91,D91
23068,D90,D90
23069,D8Z,D8Z
23070,D95,D95
23071,D32,D32
23072,J8H,J8H
23073,D30,D30
23074,CY6,CY6
23075,D3V,D3V
23076,D55,D55
23077,CW7,CW7
23078,EFN,EFN
23079,EG3,EG3
23080,EG2,EG2
23081,EG1,EG1
23082,EFY,EFY
23083,EFW,EFW
23084,JAJ,JAJ
23085,EFV,EFV
